Full Path,Mandatory/Optional,Data Type,Structure,Constraints,Enum Values,Description,Ref,Array Info
ITR2.PartA_GEN1.PersonalInfo.AssesseeName.SurNameOrOrgName,Mandatory,object,Nested Object,maxLength=75; minLength=1,,Enter Last or Sur name for Individual or HUF name here, (allOf: nonEmptyString),
ITR2.PartA_GEN1.PersonalInfo.PAN,Mandatory,object,Nested Object,pattern=[A-Z]{5}[0-9]{4}[A-Z],,, (allOf: nonEmptyString),
ITR2.PartA_GEN1.PersonalInfo.Address,Mandatory,object,Nested Object,,,,Address,
ITR2.PartA_GEN1.PersonalInfo.Address.ResidenceNo,Mandatory,object,Nested Object,maxLength=50; minLength=1,,, (allOf: nonEmptyString),
ITR2.PartA_GEN1.PersonalInfo.Address.ResidenceName,Optional,object,Nested Object,maxLength=50,,, (allOf: nonEmptyString),
ITR2.PartA_GEN1.PersonalInfo.Address.RoadOrStreet,Optional,object,Nested Object,maxLength=50,,, (allOf: nonEmptyString),
ITR2.PartA_GEN1.PersonalInfo.Address.LocalityOrArea,Mandatory,object,Nested Object,maxLength=50; minLength=1,,, (allOf: nonEmptyString),
ITR2.PartA_GEN1.PersonalInfo.Address.CityOrTownOrDistrict,Mandatory,object,Nested Object,maxLength=50; minLength=1,,, (allOf: nonEmptyString),
ITR2.PartA_GEN1.PersonalInfo.Address.StateCode,Mandatory,object,Nested Object,,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20 ... (+18 more)",01-Andaman and Nicobar islands; 02-Andhra Pradesh; 03-Arunachal Pradesh; 04-Assam; 05-Bihar; 06-Chandigarh; 07-Dadra Nagar and Haveli; 08-Daman and Diu; 09- Delhi; 10- Goa; 11-Gujarat; 12- Haryana; 13,StateCode (allOf: nonEmptyString),
ITR2.PartA_GEN1.PersonalInfo.Address.CountryCode,Mandatory,object,Nested Object,,"93, 1001, 355, 213, 684, 376, 244, 1264, 1010, 1268, 54, 374, 297, 61, 43, 994, 1242, 973, 880, 1246 ... (+230 more)",93:AFGHANISTAN; 1001:ÅLAND ISLANDS; 355:ALBANIA; 213:ALGERIA; 684:AMERICAN SAMOA; 376:ANDORRA; 244:ANGOLA; 1264:ANGUILLA; 1010:ANTARCTICA; 1268:ANTIGUA AND BARBUDA; 54:ARGENTINA; 374:ARMENIA; 297:ARUB,CountryCode (allOf: nonEmptyString),
